"Execution Time (UTC)","Execution Time (Local)","Technique","Test Number","Test Name","Hostname","IP Address","Username","GUID","ProcessId","ExitCode"
"2026-08-14T18:10:08Z","2026-08-14T20:10:08Z","T1204.002","12","ClickFix Campaign - Abuse RunMRU to Launch mshta via PowerShell","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","3f3120f0-7e50-4be2-88ae-54c61230cb9f","12140","0"
"2026-08-14T18:10:41Z","2026-08-14T20:10:41Z","T1218.005","10","Mshta used to Execute PowerShell","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","8707a805-2b76-4f32-b1c0-14e558205772",,
"2026-08-14T18:11:03Z","2026-08-14T20:11:03Z","T1059.001","15","ATHPowerShellCommandLineParameter -EncodedCommand parameter variations","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","86a43bad-12e3-4e85-b97c-4d5cf25b95c3","716","0"
"2026-08-14T18:11:26Z","2026-08-14T20:11:26Z","T1112","7","Change Powershell Execution Policy to Bypass","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","f3a6cceb-06c9-48e5-8df8-8867a6814245","21968","0"
"2026-08-14T18:11:48Z","2026-08-14T20:11:48Z","T1105","10","Windows - PowerShell Download","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","42dc4460-9aa6-45d3-b1a6-3955d34e1fe8",,
"2026-08-14T18:12:11Z","2026-08-14T20:12:11Z","T1082","9","Windows MachineGUID Discovery","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","224b4daf-db44-404e-b6b2-f4d1f0126ef8","11912","0"
"2026-08-14T18:12:32Z","2026-08-14T20:12:32Z","T1518.001","9","Security Software Discovery - Windows Defender Enumeration","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","d3415a0e-66ef-429b-acf4-a768876954f6","19240","1"
"2026-08-14T18:12:54Z","2026-08-14T20:12:54Z","T1555.003","16","BrowserStealer (Chrome / Firefox / Microsoft Edge)","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","6f2c5c87-a4d5-4898-9bd1-47a55ecaf1dd","21700","0"
"2026-08-14T18:13:19Z","2026-08-14T20:13:19Z","T1539","4","Steal Chrome v127+ cookies via Remote Debugging (Windows)","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","b647f4ee-88de-40ac-9419-f17fac9489a7","24416","-1"
"2026-08-14T18:15:47Z","2026-08-14T20:15:47Z","T1005","1","Search files of interest and save them to a single zip file (Windows)","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","d3d9af44-b8ad-4375-8b0a-4bff4b7e419c","10280","0"
"2026-08-14T18:16:09Z","2026-08-14T20:16:09Z","T1041","1","C2 Data Exfiltration","DESKTOP-EB94L4C","System.Object[]","desktop-eb94l4c\pb-victim","d1253f6e-c29b-49dc-b466-2147a6191932","12564","0"
